=> Saving data in Logs/FRL~try=397
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_matrix_attack
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.1010 test loss 2.265287 best test_acc 0.1010
e 1 | malicious users: 3 | test acc 0.3225 test loss 2.181646 best test_acc 0.3225
e 2 | malicious users: 4 | test acc 0.3659 test loss 2.026665 best test_acc 0.3659
e 3 | malicious users: 4 | test acc 0.5029 test loss 1.952590 best test_acc 0.5029
e 4 | malicious users: 4 | test acc 0.5161 test loss 1.922819 best test_acc 0.5161
e 5 | malicious users: 6 | test acc 0.4450 test loss 1.891233 best test_acc 0.5161
e 6 | malicious users: 5 | test acc 0.6097 test loss 1.942997 best test_acc 0.6097
e 7 | malicious users: 3 | test acc 0.5413 test loss 1.879577 best test_acc 0.6097
e 8 | malicious users: 8 | test acc 0.4497 test loss 2.058744 best test_acc 0.6097
e 9 | malicious users: 3 | test acc 0.5799 test loss 1.724520 best test_acc 0.6097
e 10 | malicious users: 6 | test acc 0.5252 test loss 2.135663 best test_acc 0.6097
e 11 | malicious users: 4 | test acc 0.6036 test loss 1.967565 best test_acc 0.6097
e 12 | malicious users: 5 | test acc 0.5579 test loss 2.025221 best test_acc 0.6097
e 13 | malicious users: 3 | test acc 0.5487 test loss 1.910527 best test_acc 0.6097
e 14 | malicious users: 6 | test acc 0.6311 test loss 2.078319 best test_acc 0.6311
e 15 | malicious users: 6 | test acc 0.5114 test loss 2.158639 best test_acc 0.6311
e 16 | malicious users: 6 | test acc 0.5939 test loss 2.055388 best test_acc 0.6311
e 17 | malicious users: 11 | test acc 0.4754 test loss 2.213314 best test_acc 0.6311
e 18 | malicious users: 8 | test acc 0.4429 test loss 2.187103 best test_acc 0.6311
e 19 | malicious users: 6 | test acc 0.5103 test loss 2.029424 best test_acc 0.6311
e 20 | malicious users: 6 | test acc 0.4898 test loss 2.090448 best test_acc 0.6311
e 21 | malicious users: 8 | test acc 0.3269 test loss 2.006642 best test_acc 0.6311
e 22 | malicious users: 4 | test acc 0.4399 test loss 1.890034 best test_acc 0.6311
e 23 | malicious users: 4 | test acc 0.5766 test loss 1.878748 best test_acc 0.6311
e 24 | malicious users: 5 | test acc 0.6226 test loss 1.732907 best test_acc 0.6311
e 25 | malicious users: 5 | test acc 0.5840 test loss 1.895370 best test_acc 0.6311
e 26 | malicious users: 9 | test acc 0.4719 test loss 2.010604 best test_acc 0.6311
e 27 | malicious users: 8 | test acc 0.4276 test loss 2.032465 best test_acc 0.6311
e 28 | malicious users: 5 | test acc 0.5484 test loss 1.829687 best test_acc 0.6311
e 29 | malicious users: 6 | test acc 0.4912 test loss 1.908379 best test_acc 0.6311
e 30 | malicious users: 9 | test acc 0.4503 test loss 2.063702 best test_acc 0.6311
e 31 | malicious users: 2 | test acc 0.5232 test loss 1.682720 best test_acc 0.6311
e 32 | malicious users: 3 | test acc 0.6993 test loss 1.480126 best test_acc 0.6993
e 33 | malicious users: 6 | test acc 0.5306 test loss 1.972530 best test_acc 0.6993
e 34 | malicious users: 3 | test acc 0.5419 test loss 1.596928 best test_acc 0.6993
e 35 | malicious users: 3 | test acc 0.6895 test loss 1.610716 best test_acc 0.6993
e 36 | malicious users: 3 | test acc 0.7167 test loss 1.124950 best test_acc 0.7167
e 37 | malicious users: 7 | test acc 0.6032 test loss 1.873747 best test_acc 0.7167
e 38 | malicious users: 7 | test acc 0.6906 test loss 1.942872 best test_acc 0.7167
e 39 | malicious users: 5 | test acc 0.6691 test loss 1.586750 best test_acc 0.7167
e 40 | malicious users: 5 | test acc 0.6028 test loss 1.699474 best test_acc 0.7167
e 41 | malicious users: 6 | test acc 0.6133 test loss 1.772308 best test_acc 0.7167
e 42 | malicious users: 1 | test acc 0.7405 test loss 1.185991 best test_acc 0.7405
e 43 | malicious users: 5 | test acc 0.5939 test loss 1.792998 best test_acc 0.7405
e 44 | malicious users: 7 | test acc 0.7253 test loss 1.929232 best test_acc 0.7405
e 45 | malicious users: 4 | test acc 0.6371 test loss 1.573184 best test_acc 0.7405
e 46 | malicious users: 6 | test acc 0.6277 test loss 1.816524 best test_acc 0.7405
e 47 | malicious users: 6 | test acc 0.7422 test loss 1.772412 best test_acc 0.7422
e 48 | malicious users: 7 | test acc 0.7074 test loss 1.779871 best test_acc 0.7422
e 49 | malicious users: 2 | test acc 0.6987 test loss 1.524249 best test_acc 0.7422
e 50 | malicious users: 8 | test acc 0.6201 test loss 1.947410 best test_acc 0.7422
e 51 | malicious users: 10 | test acc 0.6812 test loss 2.038247 best test_acc 0.7422
e 52 | malicious users: 6 | test acc 0.5930 test loss 1.833467 best test_acc 0.7422
e 53 | malicious users: 6 | test acc 0.6699 test loss 1.720593 best test_acc 0.7422
e 54 | malicious users: 9 | test acc 0.6844 test loss 1.949923 best test_acc 0.7422
e 55 | malicious users: 5 | test acc 0.6573 test loss 1.609888 best test_acc 0.7422
e 56 | malicious users: 4 | test acc 0.5276 test loss 1.757795 best test_acc 0.7422
e 57 | malicious users: 4 | test acc 0.6457 test loss 1.512869 best test_acc 0.7422
e 58 | malicious users: 6 | test acc 0.6722 test loss 1.626590 best test_acc 0.7422
e 59 | malicious users: 6 | test acc 0.6429 test loss 1.655593 best test_acc 0.7422
e 60 | malicious users: 8 | test acc 0.5790 test loss 1.899052 best test_acc 0.7422
e 61 | malicious users: 3 | test acc 0.6139 test loss 1.740659 best test_acc 0.7422
e 62 | malicious users: 5 | test acc 0.6336 test loss 1.670283 best test_acc 0.7422
e 63 | malicious users: 4 | test acc 0.6617 test loss 1.529976 best test_acc 0.7422
e 64 | malicious users: 4 | test acc 0.6564 test loss 1.359067 best test_acc 0.7422
e 65 | malicious users: 6 | test acc 0.7003 test loss 1.723123 best test_acc 0.7422
e 66 | malicious users: 3 | test acc 0.7445 test loss 1.177901 best test_acc 0.7445
e 67 | malicious users: 5 | test acc 0.6772 test loss 1.401135 best test_acc 0.7445
e 68 | malicious users: 7 | test acc 0.6509 test loss 1.751041 best test_acc 0.7445
e 69 | malicious users: 6 | test acc 0.6956 test loss 1.753837 best test_acc 0.7445
e 70 | malicious users: 6 | test acc 0.6832 test loss 1.464301 best test_acc 0.7445
e 71 | malicious users: 4 | test acc 0.6906 test loss 1.650481 best test_acc 0.7445
e 72 | malicious users: 6 | test acc 0.7258 test loss 1.502862 best test_acc 0.7445
e 73 | malicious users: 3 | test acc 0.6947 test loss 1.268767 best test_acc 0.7445
e 74 | malicious users: 5 | test acc 0.7349 test loss 1.484731 best test_acc 0.7445
e 75 | malicious users: 4 | test acc 0.6814 test loss 1.245735 best test_acc 0.7445
e 76 | malicious users: 4 | test acc 0.6923 test loss 1.294066 best test_acc 0.7445
e 77 | malicious users: 4 | test acc 0.7758 test loss 1.411756 best test_acc 0.7758
e 78 | malicious users: 6 | test acc 0.6955 test loss 1.622581 best test_acc 0.7758
e 79 | malicious users: 3 | test acc 0.8044 test loss 1.222384 best test_acc 0.8044
e 80 | malicious users: 5 | test acc 0.6075 test loss 1.383869 best test_acc 0.8044
e 81 | malicious users: 2 | test acc 0.6751 test loss 1.182868 best test_acc 0.8044
e 82 | malicious users: 3 | test acc 0.7321 test loss 1.065497 best test_acc 0.8044
e 83 | malicious users: 5 | test acc 0.7779 test loss 1.379932 best test_acc 0.8044
e 84 | malicious users: 5 | test acc 0.6613 test loss 1.295029 best test_acc 0.8044
e 85 | malicious users: 6 | test acc 0.6873 test loss 1.696793 best test_acc 0.8044
e 86 | malicious users: 3 | test acc 0.6620 test loss 1.251517 best test_acc 0.8044
e 87 | malicious users: 5 | test acc 0.6845 test loss 1.435069 best test_acc 0.8044
e 88 | malicious users: 4 | test acc 0.8168 test loss 1.220201 best test_acc 0.8168
e 89 | malicious users: 5 | test acc 0.6989 test loss 1.372864 best test_acc 0.8168
e 90 | malicious users: 2 | test acc 0.6793 test loss 1.085218 best test_acc 0.8168
e 91 | malicious users: 3 | test acc 0.6634 test loss 1.230884 best test_acc 0.8168
e 92 | malicious users: 4 | test acc 0.7477 test loss 1.219750 best test_acc 0.8168
e 93 | malicious users: 6 | test acc 0.7275 test loss 1.572342 best test_acc 0.8168
e 94 | malicious users: 7 | test acc 0.6976 test loss 1.724345 best test_acc 0.8168
e 95 | malicious users: 5 | test acc 0.6512 test loss 1.461675 best test_acc 0.8168
e 96 | malicious users: 7 | test acc 0.7115 test loss 1.841712 best test_acc 0.8168
e 97 | malicious users: 2 | test acc 0.6995 test loss 1.190237 best test_acc 0.8168
e 98 | malicious users: 4 | test acc 0.7249 test loss 1.351184 best test_acc 0.8168
e 99 | malicious users: 7 | test acc 0.7197 test loss 1.516434 best test_acc 0.8168
e 100 | malicious users: 6 | test acc 0.5856 test loss 1.499834 best test_acc 0.8168
e 101 | malicious users: 5 | test acc 0.6405 test loss 1.316547 best test_acc 0.8168
e 102 | malicious users: 7 | test acc 0.6869 test loss 1.613967 best test_acc 0.8168
