=> Saving data in Logs/FRL~try=420
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.00 | total number of malicious clients: 0
e 0 | malicious users: 0 | test acc 0.2314 test loss 2.229534 best test_acc 0.2314
e 1 | malicious users: 0 | test acc 0.2647 test loss 2.084891 best test_acc 0.2647
e 2 | malicious users: 0 | test acc 0.4772 test loss 1.952837 best test_acc 0.4772
e 3 | malicious users: 0 | test acc 0.5287 test loss 1.630492 best test_acc 0.5287
e 4 | malicious users: 0 | test acc 0.4703 test loss 1.510259 best test_acc 0.5287
e 5 | malicious users: 0 | test acc 0.6073 test loss 1.493702 best test_acc 0.6073
e 6 | malicious users: 0 | test acc 0.6123 test loss 1.225096 best test_acc 0.6123
e 7 | malicious users: 0 | test acc 0.6674 test loss 1.207725 best test_acc 0.6674
e 8 | malicious users: 0 | test acc 0.7147 test loss 1.059237 best test_acc 0.7147
e 9 | malicious users: 0 | test acc 0.6989 test loss 0.999426 best test_acc 0.7147
e 10 | malicious users: 0 | test acc 0.7107 test loss 0.930674 best test_acc 0.7147
e 11 | malicious users: 0 | test acc 0.5539 test loss 1.060661 best test_acc 0.7147
e 12 | malicious users: 0 | test acc 0.5604 test loss 1.258885 best test_acc 0.7147
e 13 | malicious users: 0 | test acc 0.6919 test loss 0.922081 best test_acc 0.7147
e 14 | malicious users: 0 | test acc 0.7788 test loss 0.730337 best test_acc 0.7788
e 15 | malicious users: 0 | test acc 0.7835 test loss 0.721554 best test_acc 0.7835
e 16 | malicious users: 0 | test acc 0.8205 test loss 0.688568 best test_acc 0.8205
e 17 | malicious users: 0 | test acc 0.7656 test loss 0.729373 best test_acc 0.8205
e 18 | malicious users: 0 | test acc 0.7498 test loss 0.804934 best test_acc 0.8205
e 19 | malicious users: 0 | test acc 0.6962 test loss 0.896573 best test_acc 0.8205
e 20 | malicious users: 0 | test acc 0.7189 test loss 0.843239 best test_acc 0.8205
e 21 | malicious users: 0 | test acc 0.8592 test loss 0.775874 best test_acc 0.8592
e 22 | malicious users: 0 | test acc 0.8633 test loss 0.520935 best test_acc 0.8633
e 23 | malicious users: 0 | test acc 0.7042 test loss 0.808865 best test_acc 0.8633
e 24 | malicious users: 0 | test acc 0.7390 test loss 0.788587 best test_acc 0.8633
e 25 | malicious users: 0 | test acc 0.8385 test loss 0.873078 best test_acc 0.8633
e 26 | malicious users: 0 | test acc 0.8309 test loss 0.601408 best test_acc 0.8633
e 27 | malicious users: 0 | test acc 0.7902 test loss 0.599358 best test_acc 0.8633
e 28 | malicious users: 0 | test acc 0.7388 test loss 0.786726 best test_acc 0.8633
e 29 | malicious users: 0 | test acc 0.8492 test loss 0.679620 best test_acc 0.8633
e 30 | malicious users: 0 | test acc 0.7974 test loss 0.555702 best test_acc 0.8633
e 31 | malicious users: 0 | test acc 0.6444 test loss 0.934563 best test_acc 0.8633
e 32 | malicious users: 0 | test acc 0.7995 test loss 0.679037 best test_acc 0.8633
e 33 | malicious users: 0 | test acc 0.7808 test loss 0.708888 best test_acc 0.8633
e 34 | malicious users: 0 | test acc 0.8198 test loss 0.753438 best test_acc 0.8633
e 35 | malicious users: 0 | test acc 0.7498 test loss 0.704729 best test_acc 0.8633
e 36 | malicious users: 0 | test acc 0.7968 test loss 0.758926 best test_acc 0.8633
e 37 | malicious users: 0 | test acc 0.5851 test loss 1.114108 best test_acc 0.8633
e 38 | malicious users: 0 | test acc 0.7595 test loss 0.713964 best test_acc 0.8633
e 39 | malicious users: 0 | test acc 0.8991 test loss 0.456436 best test_acc 0.8991
e 40 | malicious users: 0 | test acc 0.8087 test loss 0.741570 best test_acc 0.8991
e 41 | malicious users: 0 | test acc 0.7444 test loss 0.711634 best test_acc 0.8991
e 42 | malicious users: 0 | test acc 0.8371 test loss 0.508010 best test_acc 0.8991
e 43 | malicious users: 0 | test acc 0.7489 test loss 0.685044 best test_acc 0.8991
